# 請求書番号の採番台帳。invoice_build.py が最大値+1で自動採番する。
# 期は12月始まり（第7期＝2025/12〜2026/11）。No は <期2桁>-<期内通番3桁>。
# シードは①売掛金一覧（2026-09-03時点）から。過去分を全部は入れていないので、
# 「最大値がここにある」ことだけが保証。手で発行したら1行足す。
No	宛先	請求月	請求日	税込	出所
07-079	株式会社トライ・ワークス	2026-08	2026-08-17	4063950	①
07-080	HILLTOP株式会社	2026-09	2026-09-01	33000	①
07-081	睦備建設株式会社	2026-08	2026-08-31	1094500	①
07-082	株式会社TOMONI	2026-08	2026-08-31	4950	①
07-083	株式会社再生可能エネルギー推進機構	2026-08	2026-08-31	198574	①
07-084	株式会社アダチ音研	2026-08	2026-08-31	220000	①
07-085	有限会社北麓	2026-08	2026-08-31	220000	①
